pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,4,2790,L.S,L. Singh,EBGD,Nil,Development Of Green Belt For Chandrapur Thermal Power Premises Using Eco-rejuvenation Technology,"Maharashtra State Power Generation Company Limited ,chandrapur",44791,45339,,8 8,ONG,Environmental Science And Sustainability,Landscape Architecture And Design,Soil Science And Soil Conservation,Plant Biology And Horticulture,Water Resource Management,Waste Management And Recycling,Renewable Energy And Energy Efficiency,Climate Change Adaptation And Mitigation,Green Infrastructure And Urban Planning,Community Engagement And Stakeholder Management.,,,,,,,,
CNP,3,2791,PV,P V Nideesh,EISD,Nil,Environmental Site Assessment On Ash Pond Contaminated Sites Of National Aluminium Company Ltd,"National Aluminium Company Ltd,angul,odisha",44805,45900,,40,ONG,Environmental Science,Geology,Hydrogeology,Chemistry,Toxicology,Environmental Law And Regulations,Risk Assessment,Remediation Technologies,Project Management,Stakeholder Engagement And Communication.,,,,,,,,
CNP,7,2792,M.K,M Suresh Kumar,EISD,Nil,"Compliance Status Monitoring Of Vadodara Manufacturing Division,reliance Industries Limited","Reliance Industries Limited,vadodara",44805,45900,,4 3,ONG,Regulatory Compliance,Environmental Compliance,Health And Safety Compliance,Quality Control Compliance,Manufacturing Processes Compliance,Supply Chain Compliance,Legal Compliance,Risk Management Compliance,Audit And Inspection Compliance,Corporate Governance Compliance,,,,,,,,
CNP,7,2793,M.K,M Suresh Kumar,EISD,Nil,Verification Of Non-increase In Pollution Loaded By The Expansion Of Vadadora Manufacturing Division Of Reliance Industries Limited.,"Reliance Industries Limited,vadadora",44805,44804,,5,ONG,Environmental Science,Chemical Engineering,Industrial Engineering,Pollution Control,Air Quality Monitoring,Water Quality Monitoring,Waste Management,Environmental Law And Regulations,Sustainability,Corporate Social Responsibility.,,,,,,,,
CNP,3,2794,AB,Amit Bafana,HTC,Nil,Evaluation Of Toxicity Of Servo Drilling Fluid Base Oil According To Parcom/ospar,"Indian Oil Corporation Ltd,r & D Centre,faridabad,haryana",44692,45291,,02 05,ONG,Chemistry,Environmental Science,Toxicology,Petroleum Engineering,Risk Assessment,Regulatory Compliance,Analytical Chemistry,Biodegradation Studies,Ecotoxicology,Waste Management And Disposal.,,,,,,,,
CNP,2,2795,GK,G .K. Khadse,WTMD,Nil,Evaluation Of Electrolytic De-fluoridation Ants Installed For Safe Rural Drinking Water Supply In Fluoride Affected Areas Of Jharkhand State,"Drinking Water And Sanitation Department ,doranda ,ranchi, Jharkhand",44819,45549,,100,ONG,Electrochemistry,Water Treatment Technologies,Environmental Engineering,Chemical Engineering,Public Health,Rural Development,Water Quality Analysis,Statistical Analysis,Project Management,Policy And Policy And Regulatory Frameworksrelated To Safe Drinking Water Supply.,,,,,,,,
CNP,2,2796,SK,S. Kumar,WRD,Nil,Studies On Quantification And Status Of The Existing Condition Of Legacy Waste At Devendra Chandra Waste Processing Site Of Agartala Muncipal Corporation,"Agartala Muncipal Corporation, Tripura",44866,45626,,25,ONG,Waste Management,Environmental Science,Soil Science,Chemistry,Geology,Civil Engineering,Public Health,Microbiology,`,Data Analysis And Statistics,,,,,,,,
GAP,2,2797,RV,R.Vijay,WWT,Nil,In-situ And Ex-situ Treatment Of Domestic Waste Water Flowing In Drains Of Nodia City.,"Okhla Industrial Development Authority, Noida, Uttar Pradesh.",44835,46295,,280,ONG,Environmental Engineering,Water Treatment Technology,Chemical Engineering,Microbiology,Civil Engineering,Hydrology,Waste Management,Public Health,Urban Planning,Sustainable Development,,,,,,,,
CNP,1,2798,SG,S.Goyal,DZC,Nil,"Assessment Of The Quality Of Water Accumulated At The Purposed Regional Rapid Transit System (rrts) Depot Land At Dharuhera ,haryana And Suggestions For The Mitigation Measures","National Capital Region Transport Corporation, Dharuhera, Haryana",44774,45504,,2 6,ONG,Water Quality Testing And Analysis,Environmental Engineering,Hydrology And Water Resource Management,Geology And Soil Science,Chemistry And Chemical Engineering,Environmental Law And Regulations,Risk Assessment And Management,Geographic Information Systems,Public Health And Safety,Project Management And Planning.,,,,,,,,
TSP,1,2799,SG,S.Goya,DZC,Nil,Conduct Of 08 Training Programmes By Delhi Zonal Centre On Different Topics During 2022-2023,Various Participants,44805,45169,,12,ONG,Training And Development,Curriculum Design And Development,Adult Learning Theory,Instructional Design,Training Delivery Methods,Evaluation And Assessment,Project Management,Communication Skills,Leadership And Management,Subject Matter Expertise In The Specific Topics Of The Training Programmes.,,,,,,,,
CNP,3,2800,PV,P. V. Nidheesh,EISD,Nil,3 Rd Party Verification Of Progressive Mine Closure Activities For 12 Coal Mines Of Sscl,"The Singareni Collieries Company Ltd, Bhadradri Kothagudem,telangana",44835,45930,,,ONG,Mining Operations And Processes,Environmental Regulations And Compliance,Mine Closure Planning And Execution,Land Reclamation And Restoration,Water Management And Treatment,Air Quality Monitoring And Control,Health And Safety Protocols,Stakeholder Engagement And Communication,Financial Management And Reporting,Legal And Contractual Obligations.,,,,,,,,
CNP,4,2801,JJ,J. Joseph,CHWMD,Nil,"Feasibility Studies For Implementation Of A Cetp For A Metal Finisher Units In Satpur And Ambad Industrial Area At Midc,nashik","Maharashtra Industrial Development Corporation (midc),nashik",44818,45657,,30,ONG,Industrial Wastewater Treatment,Environmental Engineering,Chemical Engineering,Project Management,Cost Analysis And Budgeting,Regulatory Compliance,Water Quality Monitoring And Testing,Risk Assessment And Management,Stakeholder Engagement And Communication,Sustainable Development And Corporate Social Responsibility.,,,,,,,,
CNP,7,2802,AB,A.D.Bhanarkar,APC,Nil,Study On Air Quality And Stack Emissions From The Aluminium Melting Furnace At Hindalco-almex Aerospace Ltd ( Haal ),"M/s Hindalco-almex Aerospace Ltd ( Haal ) , Aurangabad,maharashtra.",44866,45230,,12,ONG,Environmental Science,Chemical Engineering,Industrial Engineering,Materials Science,Metallurgy,Air Pollution Control,Public Health And Safety,Energy Management,Waste Management,Statistical Analysis And Data Interpretation.,,,,,,,,
CNP,3,2803,MK,M Kumar,EISD,Nil,Auditing /certification Of Progressive /final Mine Closure Activities As Per Approved Mine Closure Plan For 80 Mines Of Wcl For 34 Oc And 16 Ug Mines In The State Of Maharashtra.,"Western Coalfields Limited , Coal Estate ,civil Line ,nagpur.",44866,45961,,14 52157,ONG,Mining Engineering,Environmental Science,Geology,Hydrology,Soil Science,Land Reclamation,Waste Management,Pubic Health And Safety,Legal Compliance,Project Management,,,,,,,,
CNP,2,2804,SK,S K Goyal,DZC,Nil,"Surveillance Of Water Quality At Water Treatment Plants (wtps),groundwater Sources And Distribution Network In Delhi.",Delhi Jal Board ( Djb ),44866,46022,,12 8,ONG,Water Quality Testing And Analysis,Water Treatment Processes And Technologies,Groundwater Hydrology And Geology,Environmental Regulations And Compliance,Water Distribution System Design And Operation,Water Quality Monitoring And Data Management,Risk Assessment And Management,Chemical And Biological Contaminants In Water,Public Health And Safety,Communication And Stakeholder Engagement.,,,,,,,,
CNP,2,2805,DM,Dipanjali Majumdar,KZC,Nil,Rapid Assessment Of Environmental Carrying Capacity Of Eco-sensitive Zone Of Sepahijala Wildlife Sanctuary In Tripura.,"Tripura State Pollution Control Board, West Tripura, Tripura.",,,,,ONG,Environmental Science,Wildlife Biology,Ecology,Conservation Biology,Geographic Information Systems,Remote Sensing,Environmental Impact Assessment,Biodiversity Assessment,Habitat Assessment,Statistical Analysis And Modeling.,,,,,,,,
CNP,3,2806,SB,Shaik Basha,HZC,Nil,"Environmental Audit Of Jvr Oc Mine (i &ii Expansion),sathupalli, Kislaram Ocp Sathupalli And Pk Ocp Manuguru Of Sscl","Singareni Collieries Company Ltd, Bhandradri Kothagudem,(telangana)",44835,46112,,51.5,ONG,Environmental Regulations And Compliance,Mining Operations And Processes,Water Management And Conservation,Air Quality Monitoring,Soil And Land Management,Waste Management And Disposal,Biodiversity Conservation And Management,Environmental Impact Assessment,Stakeholder Engagement And Communication,Air Pollution Control,,,,,,,,
CNP,7,2807,PRP,P R. Pujari,WTMD,Nil,"Impact Assessment Study Due To Dewatering For Proposed Dlf Commercial Project At Jhandewalan,delhi","Dlf Limited,jhandewalan,delhi.",44866,45596,,14,ONG,Environmental Science,Hydrogeology,Geotechnical Engineering,Water Resource Management,Land Use Planning,Urban Development,Construction Management,Social Impact Assessment,Economic Analysis,Legal And Regulatory Compliance,,,,,,,,
CNP,1,2649,"AG, HB, S, RW","A. Gupta, H. Bherwani, Sunayana, R. Wathore",DZC,EM,Collation And Review Of The Comments / Suggestions Received From All The Stakeholders On The Draft Eia Notification 2020,"Ministry Of Environment, Forest & Climate Change , New Delhi",44105,44561,45291,2 7,ONG,Environmental Impact Assessment,Environmental Science And Ecology,Legal And Regulatory Compliance,Stakeholder Engagement And Communication,Project Management And Coordination,Technical Writing And Documentation,Public Policy And Advocacy,Risk Assessment And Management,Data Analysis And Interpretation,Environmental Law And Litigation.,,,,,,,,
CNP,7,2809,SB/PR,"Shaik Basha, B. Padma. S. Rao",HZC/EAPID,Nil,"Environmental Audit Of Hazardous Landfill Site Of Costal Waste Management Project (cwmp), Andhra Pradesh",Re-sutainability Ltd. (andhra Pradesh),44652,45930,,7,ONG,Environmental Science,Waste Management,Hazardous Waste Management,Landfill Design And Management,Environmental Law And Regulations,Environmental Impact Assessment,Soil And Water Quality Analysis,Air Quality Monitoring,Health And Safety Management,Project Management.,,,,,,,,
CNP,7,2810,SB/PR,"Shaik Basha, B. Padma. S. Rao",HZC/EAPID,Nil,"Environmental Audit Of Hazardous Landfill Site Of Karnataka Waste Management Project (kwmp),karnataka",Re-sutainability Ltd. (karnataka),44652,45930,,7,ONG,Environmental Science,Waste Management,Hazardous Waste Management,Landfill Management,Environmental Law And Regulations,Environmental Impact Assessment,Soil Science,Water Quality Management,Air Quality Management,Environmental Monitoring And Sampling Techniques,,,,,,,,
CNP,2,2811,AL,Asha Lalwani,APC,Nil,Damage Cost Assessment Due To The Pollution Caused On Account Of Fire Incident At Phin – 2 Plant North Side Of Pharma Intermediate Plant .,"Gujarat Pollution Control Board, Gandhinagar",44872,45046,,47458,ONG,Environmental Science,Chemical Engineering,Industrial Safety,Risk Assessment,Fire Safety,Pollution Control,Pubic Health And Safety,Legal Compliance,Insurance Claims,Cost Estimation And Analysis.,,,,,,,,
CNP,7,2812,MK,M.S.Kumar,EISD,Nil,"Environmental Audit Of Soda Ash Plant At Kuranga Village,dev Bhumi Dwarka ,gujarat","Rspl Limited. , Gujarat",44866,45961,,50,ONG,Environmental Science,Chemical Engineering,Industrial Ecology,Environmental Law And Policy,Environmental Management Systems,Air And Water Pollution Control,Waste Management And Recycling,Public Health And Safety,Energy Efficiency And Renewable Energy,Sustainable Development And Corporate Social Responsibility.,,,,,,,,
CNP,3,2813,SD,Shalini Dhyani,WTMD,Nil,Mapping Of Biodiversity Study At Vstps.,"Vstps- Ntpc L Td , Singrauli Madhya Pradesh",44880,45610,,5,ONG,Biodiversity Conservation,Geographic Information Systems,Remote Sensing,Ecology,Botany,Zoology,Environmental Science,Data Analysis And Interpretation,Statistical Analysis,Field Survey Techniques.,,,,,,,,
CNP,7,2814,MK,M.S.Kumar,EISD,Nil,"Environmental Impact Assessment Study For Meghahatuburu Iron And Manganese Ore Mines Of Arcelor Mittal India Private Limited At West Singbhum,odisha","Arcelor Mittal India Pvt Ltd., Ranchi,jharkhand",44866,45961,,4 1,ONG,Environmental Science,Mining Engineering,Geology,Ecology,Hydrology,Air Quality Management,Noise Pollution Control,Waste Management,Social Impact Assessment,Legal And Regulatory Compliance,,,,,,,,
CNP,3,2815,SKG/MP,"SK Goyal ,Mamta Prakash",DZC,Nil,Follow Up- Flora-fauna Study To Assess The Impact Of Backfilling Of Ash In Gorbi Mines At Ntpc Vstpp,"Agm (emg),ntpc Ltd. , Singrauli, Madhya Pradesh",44835,45382,,25,ONG,Environmental Science,Ecology,Botany,Zoology,Soil Science,Mining Engineering,Geology,Wildlife Biology,Conservation Biology,Environmental Impact Assessment.,,,,,,,,
TSP,2,2816,PM,P. Manekar,WWT,Nil,Assessment Of Impact Of Proposed Sewage Treatment Plant Site At Talai Town On Water Sources Of The Jhabola Village,"Jal Shakti Vibhag,division ,jhandutta,himachal Pradesh",44896,45991,,10,ONG,Environmental Science,Water Management And Conservation,Civil Engineering,Hydrology,Geology,Ecology,Public Health,Environmental Law And Policy,Community Development,Geographic Information Systems,,,,,,,,
CNP,7,2817,MK,M.S.Kumar,EISD,Nil,"Identification Of Possible Attributes That Influence The Color Change From Transparent To Brown In Digestives ,a Ttk Healthcare Product","Ttk Healthcare Ltd , Pallavaram,chennai",44927,45473,,1 23,ONG,Chemistry,Biochemistry,Food Science,Pharmacology,Analytical Chemistry,Spectroscopy,Microbiology,Toxicology,Quality Control,Regulatory Affairs,,,,,,,,
GAP,1,2818,NG,Nitin Goyal,MZC,Nil,"Evaluation Of Environment Management Plan With Environmental Auditing And Monitoring ,in Amanora Park Town.","City Corporation Limited (amanora Park) ,pune,maharashtra.",44900,45260,,41.23,ONG,Environmental Science,Environmental Management,Environmental Law And Policy,Environmental Impact Assessment,Environmental Monitoring And Auditing,Sustainable Development,Waste Management,Water Resource Management,Air Pollution Control,Climate Change Adaptation And Mitigation.,,,,,,,,
CNP,7,2819,MK,M Suresh Kumar,EISD,Nil,Mining Closure Plan & Environmental Audit Report For Pakri Barwadih Coal Mining Project.,"Thriveni Sainik Mining Pvt Ltd. , Hazaribag , Jharkhand.",44866,45596,,8,ONG,Mining Engineering,Environmental Science,Geology,Hydrology,Soil Science,Land Reclamation,Waste Management,Air Quality Management,Water Quality Management,Environmental Law And Regulations.,,,,,,,,
CNP,7,2820,GP,G. R. Pophali,WTMD,Nil,Technical Appraisal And Recommendations On Dpr For Dombivli Common Effluent Treatment Plant ( Dcetp),"Dombivli Common Effluent Treatment Plant ( Dcetp), Dombivli (east),mumbai.",44907,45291,,10,ONG,Wastewater Treatment Processes,Environmental Engineering,Chemical Engineering,Water Quality Analysis,Project Management,Cost Estimation And Budgeting,Regulatory Compliance,Risk Assessment And Management,Sustainability And Green Technologies,Technical Report Writing And Presentation Skills,,,,,,,,
CNP,4,2821,SK,S. Kumar,WRD,Nil,Technical Verification & Appraisal Of Detail Project Reports (dprs) For Jharkhand Industrial Infrastructure Development Corporation Ltd (jidco).,"Jharkhand Industrial Infrastructure Development Corporation Ltd (jidco), Ranchi ,jharkhand.",44927,46022,,31.47,ONG,Technical Writing,Project Management,Engineering Design,Construction Management,Financial Analysis,Risk Assessment,Environmental Impact Assessment,Legal Compliance,Quality Control,Stakeholder Engagement,,,,,,,,
GAP,5,2822,MP,M P Patil,CHWMD,Nil,Review And Update Of National Implementation Plans (nips) Under The Stockholm Convention (sc) On Persistent Organic Pollutants (pops) For India,"Unep,kenya & Ministry Of Environment,forest & Climate Change",44927,46568,,80 6,ONG,Environmental Policy And Regulation,Chemical Management And Regulation,Toxicology And Risk Assessment,Environmental Monitoring And Sampling,Waste Management And Disposal,Chemical Analysis And Testing,Public Health And Safety,International Environmental Agreements And Conventions,Sustainable Development And Resource Management,Stakeholder Engagement And Communication.,,,,,,,,
